Date,Crypto_Volume,Crypto_Market_Cap
2019-09-29,25721210288.748116,188110024343.0302
2019-09-30,28698587858.190777,188999961973.0583
2019-10-01,31280427405.397427,195341747617.76865
2019-10-02,27066565123.62115,193015238197.20026
2019-10-03,24460075566.96112,192735402350.5551
2019-10-04,25401127976.6491,191179570119.65372
2019-10-05,23211027166.758972,190561274200.35547
2019-10-06,23100876127.635975,188185620223.49716
2019-10-07,29068513590.41426,190478094241.87903
2019-10-08,32443126970.06541,194738711741.03766
2019-10-09,31018896750.321686,198121274642.23242
2019-10-10,35548808153.497246,202307829934.85916
2019-10-11,33734169241.319458,198582775744.36896
2019-10-12,29222254248.879562,197227805733.0342
2019-10-13,24315138625.90689,197896073796.35718
2019-10-14,26565193470.75099,197966542721.82895
2019-10-15,27370778640.714687,197252101237.1533
2019-10-16,28879964039.953735,192288725707.7219
2019-10-17,28957457280.645256,191925695650.40326
2019-10-18,28542078974.18984,190429540986.08087
2019-10-19,25996243147.218494,190150792141.7992
2019-10-20,25800583042.182777,190987756302.99387
2019-10-21,27330374171.720253,195179508770.0016
2019-10-22,27264346005.65608,195029135872.6363
2019-10-23,32046253956.00038,184658415146.2612
2019-10-24,34873464602.236305,178226196788.561
2019-10-25,33457762853.184895,187840115723.0723
2019-10-26,74624379892.64677,216489977859.65482
2019-10-27,55889734593.0089,218216181582.32544
2019-10-28,58925462684.71681,220718799273.09537
2019-10-29,49003437224.18146,219680856153.26782
2019-10-30,48123540618.90941,215773680729.07797
2019-10-31,41846214028.09256,214682836775.87448
2019-11-01,40574960804.66922,214350924730.81058
2019-11-02,38032726327.729294,216993194816.67776
2019-11-03,34805778199.721924,215819970392.3018
2019-11-04,36418137177.106285,216880627828.18497
2019-11-05,46176860032.14868,219712919298.2124
2019-11-06,42202609241.64126,220148753042.65945
2019-11-07,39276952400.789406,217939043078.33344
2019-11-08,39435322310.80718,212454755300.06757
2019-11-09,36601467822.73997,209062554243.39285
2019-11-10,34195179204.99132,211074658313.7348
2019-11-11,37469003592.20903,209368310110.83386
2019-11-12,32893341576.857704,207919097715.1264
2019-11-13,32611653651.91886,208423890132.6984
2019-11-14,32252115575.08146,206632355402.7989
2019-11-15,34409592313.993065,203491090227.46826
2019-11-16,31979078626.34407,201788384957.02167
2019-11-17,28561658496.44376,202876139989.76288
2019-11-18,30987686634.661522,200024962304.8166
2019-11-19,36028907922.58957,193390688982.21133
2019-11-20,31957084229.74737,192888121332.12152
2019-11-21,32879383425.67306,186690949640.14963
2019-11-22,46544211600.51322,174037032933.9281
2019-11-23,45514447697.205315,171229070429.9567
2019-11-24,32563528992.633553,169250027104.13318
2019-11-25,45208696044.63618,164230319754.4682
2019-11-26,39826416119.33822,168397746318.0371
2019-11-27,34457811677.13999,170838240092.65094
2019-11-28,36376318777.13185,176547507693.29236
